trial,WSLS_choice,feedback,true_noise,true_win_stay,true_lose_shift,opponent_choices,cumulative_rate_WSLS,cumulative_rate_opponent
5,0,0,0,0.3,0.5,1,0.2,0.8
6,1,1,0,0.3,0.5,1,0.3333333333333333,0.8333333333333334
7,0,1,0,0.3,0.5,0,0.2857142857142857,0.7142857142857143
8,1,0,0,0.3,0.5,0,0.375,0.625
9,1,1,0,0.3,0.5,1,0.4444444444444444,0.6666666666666666
10,0,0,0,0.3,0.5,1,0.4,0.7
11,0,0,0,0.3,0.5,1,0.36363636363636365,0.7272727272727273
12,0,0,0,0.3,0.5,1,0.3333333333333333,0.75
13,1,0,0,0.3,0.5,0,0.38461538461538464,0.6923076923076923
14,0,0,0,0.3,0.5,1,0.35714285714285715,0.7142857142857143
15,1,0,0,0.3,0.5,0,0.4,0.6666666666666666
16,1,1,0,0.3,0.5,1,0.4375,0.6875
17,1,0,0,0.3,0.5,0,0.47058823529411764,0.6470588235294118
18,0,1,0,0.3,0.5,0,0.4444444444444444,0.6111111111111112
19,1,0,0,0.3,0.5,0,0.47368421052631576,0.5789473684210527
20,1,0,0,0.3,0.5,0,0.5,0.55
21,1,0,0,0.3,0.5,0,0.5238095238095238,0.5238095238095238
22,0,1,0,0.3,0.5,0,0.5,0.5
23,1,0,0,0.3,0.5,0,0.5217391304347826,0.4782608695652174
24,0,1,0,0.3,0.5,0,0.5,0.4583333333333333
25,0,1,0,0.3,0.5,0,0.48,0.44
26,0,0,0,0.3,0.5,1,0.46153846153846156,0.46153846153846156
27,0,0,0,0.3,0.5,1,0.4444444444444444,0.48148148148148145
28,1,1,0,0.3,0.5,1,0.4642857142857143,0.5
29,1,1,0,0.3,0.5,1,0.4827586206896552,0.5172413793103449
30,0,1,0,0.3,0.5,0,0.4666666666666667,0.5
31,1,0,0,0.3,0.5,0,0.4838709677419355,0.4838709677419355
32,1,0,0,0.3,0.5,0,0.5,0.46875
33,0,1,0,0.3,0.5,0,0.48484848484848486,0.45454545454545453
34,1,1,0,0.3,0.5,1,0.5,0.47058823529411764
35,1,0,0,0.3,0.5,0,0.5142857142857142,0.45714285714285713
36,1,1,0,0.3,0.5,1,0.5277777777777778,0.4722222222222222
37,0,1,0,0.3,0.5,0,0.5135135135135135,0.4594594594594595
38,1,0,0,0.3,0.5,0,0.5263157894736842,0.4473684210526316
39,0,0,0,0.3,0.5,1,0.5128205128205128,0.46153846153846156
40,1,1,0,0.3,0.5,1,0.525,0.475
41,0,0,0,0.3,0.5,1,0.5121951219512195,0.4878048780487805
42,1,1,0,0.3,0.5,1,0.5238095238095238,0.5
43,0,1,0,0.3,0.5,0,0.5116279069767442,0.4883720930232558
